tree_species_uuid,taxon_id,name
fd224180-ac50-4734-a11f-9e193dfdf7e8,wfo-0000853559,Bambusa vulgaris
8a0f8561-d9fd-48ee-9c88-8636c1757585,wfo-0000473834,Musa acuminata
e86889ec-dcaa-4a66-b01e-7b782766862d,wfo-4000040234,Vicia
d503d45b-f6ad-4010-89c7-2a5d7fb2c509,wfo-0000213828,Brachystegia longifolia
3c995469-7f15-49c6-8870-56555b3e8f4b,wfo-0000572577,Broussonetia papyrifera
8a40f513-0b5f-4eee-91f6-c5b2c567cf6b,wfo-0000572577,Broussonetia papyrifera
f14db92d-86f1-414c-94c8-b4ff2b5594ab,wfo-0000572577,Broussonetia papyrifera
fa0fe62a-eabb-4506-85e7-1581a1425987,wfo-0000199357,Calliandra houstoniana var. calothyrsus
f7283a13-a248-4f9c-9907-fb9e606e8055,wfo-0000199357,Calliandra houstoniana var. calothyrsus
f205c798-b624-4f23-a953-1774d37d936d,wfo-0000199357,Calliandra houstoniana var. calothyrsus
36fad9e5-1523-4852-9c97-556a3b8797da,wfo-0000199357,Calliandra houstoniana var. calothyrsus
bf266340-4e3c-4c51-9b60-f1b249224909,wfo-0000199357,Calliandra houstoniana var. calothyrsus
b7f01281-ba07-4f04-a87f-93de313d101b,wfo-0000199357,Calliandra houstoniana var. calothyrsus
06688a0f-04f6-45be-b84d-e0550772c536,wfo-4000006624,Capsicum
c921792f-a956-4e33-8420-2a70a40448ef,wfo-4000006902,Cassia
7a0cc7cd-367c-4269-8010-bf2380682083,wfo-4000006902,Cassia
ec245844-5e8c-42a9-9386-aa09c535ac22,wfo-4000006902,Cassia
cbbe5c05-5fd2-42d7-a7c0-458e8e10a83e,wfo-0000590663,Casuarina equisetifolia
7cd7f45c-e140-4400-a5f6-68e12c13784a,wfo-0000590663,Casuarina equisetifolia
30be3950-9463-4f94-b0c9-5652937217f4,wfo-0000590663,Casuarina equisetifolia
ef42cb24-bbd7-4baa-b287-dddcb1aec91b,wfo-0000590663,Casuarina equisetifolia
7b531f1b-09fd-401f-b6d2-555aaafc61f7,wfo-0000590663,Casuarina equisetifolia
15ebdcb0-b670-4615-b068-626ceffeb3ac,wfo-0000590663,Casuarina equisetifolia
fcd7dfed-9281-4faa-b3c3-826f74dc9be6,wfo-4000007119,Cedrus
6d368aea-58fa-423e-9fbb-5d64680bbe09,wfo-4000007119,Cedrus
fdb34f01-f7fa-4e00-87a8-4800f930e25d,wfo-0000356989,Khaya senegalensis
bcbd0708-0a33-4c7e-8f16-5584e808f4bf,wfo-4000007110,Cedrela
c4d8a5e5-8347-4ee9-bfff-d92be0ca3cb5,wfo-4000007110,Cedrela
8c48c5ed-fc8a-45f8-9cfc-07b0e85f5040,wfo-0000592446,Cedrela odorata
9f459573-a426-4766-87c8-01ed4909d917,wfo-0000455502,Toona sinensis
6c2be983-f7cb-4358-88c8-e2d6cb8d13be,wfo-0000455502,Toona sinensis
ef6cf7d5-145a-4c79-aa44-65ec52220d12,wfo-0000607909,Citrus x aurantium
8ebdd2b6-3fec-4fb2-8492-cc86d15e9eec,wfo-0000607909,Citrus x aurantium
4d25e5a7-27f7-4761-a719-9aac087d8b22,wfo-0000607909,Citrus x aurantium
b4b9f8b4-453c-40b4-b124-54084d965004,wfo-0000607909,Citrus x aurantium
097a5fc8-fd97-462d-a9e6-5b279919072b,wfo-0000910097,Coffea arabica
ae3bee85-3afe-4d2c-bf1b-b9e848ae6c26,wfo-0000616761,Combretum schumannii
170af39f-b656-4b6a-9ace-170b7b3954d5,wfo-0000620224,Cordia africana
17924938-ca6e-480b-8aff-0575b047dc01,wfo-0000620977,Cordia sinensis
3f249220-e47d-4bf9-94b4-f391e390efe8,wfo-4000009788,Croton
4efd2f17-db62-4936-832d-5bf745b92483,wfo-0000912972,Hesperocyparis lusitanica
959130d4-adce-43c2-b728-fcb97f084b88,wfo-0000172240,Dalbergia latifolia
e421ad95-8ab0-4531-bba3-808d667b8073,wfo-0000166389,Delonix regia
2cf34f5a-36b8-4967-8564-e8a884221fa5,wfo-0000166389,Delonix regia
449923b3-8234-4120-aa25-cc244dd49793,wfo-0000166389,Delonix regia
284544c0-fbd4-45b2-9dac-0fdf23a44bbe,wfo-0000654003,Dombeya torrida
7cae621e-32eb-4ed5-b577-0a0eb8988fc4,wfo-0000654003,Dombeya torrida
b2d65822-8f9e-4a02-85c0-e6e1bab22f22,wfo-0000654003,Dombeya torrida
55a329e7-97d8-43c6-a36f-313dbe9bea6d,wfo-0000663623,Ekebergia capensis
e9877949-fa1d-48a9-8798-0e9f08c019fa,wfo-0000663623,Ekebergia capensis
1eb53e9d-4d37-4c66-8403-878b5a9e1364,wfo-0000947985,Elaeis guineensis
5ca82c1e-5236-4f68-bdb0-41ae8770073e,wfo-0000947985,Elaeis guineensis
64ada947-dff1-4d30-bd0d-4074716c162d,wfo-0000947985,Elaeis guineensis
0527ec52-b61d-4dde-b389-4f864885bc5e,wfo-0000947985,Elaeis guineensis
5b36f569-68b7-4033-8acc-ab16f895c6b6,wfo-0000947985,Elaeis guineensis
1c8b3eb4-19ed-4680-a0f1-3b27cff872c9,wfo-0000180586,Erythrina burttii
4714a50a-787c-44e8-9a76-f480590979ca,wfo-0000205748,Entada abyssinica
9ddf715c-569a-4586-9a1d-95133c6fd9c1,wfo-0000581500,Calotropis procera
51440138-a4be-4b2a-8287-fc3c85f45f98,wfo-0000581500,Calotropis procera
f20cd722-1755-4396-8e6f-9c8905ce67d7,wfo-0000581500,Calotropis procera
950d07c4-b44f-4876-8220-b1a3402b49ea,wfo-0000955315,Eucalyptus maidenii
bd6f5b84-99bd-40d9-986c-bb88de69e95b,wfo-0000954998,Eucalyptus globulus
31253a9a-b68c-4f22-ad17-456b8536b96c,wfo-0000954998,Eucalyptus globulus
aae89265-287b-4969-a1fb-9b26795a5873,wfo-4000014088,Eucalyptus
ee2dcb6e-8483-48c4-b369-b502b097de2f,wfo-0000186081,Faidherbia albida
a39850b0-9683-4ba5-b5e5-65b96c98e0f5,wfo-0000986002,Eriobotrya japonica
89c90363-2744-4452-bab3-14c06dd3b8e2,wfo-0000986002,Eriobotrya japonica
52810ab5-64d8-449d-8eab-13ba8d3044a6,wfo-0000690537,Ficus sycomorus
cc671fbb-ca33-4570-ab41-773138a71186,wfo-0000709544,Grevillea robusta
47195504-9b2c-43f0-83cd-dc3e52056697,wfo-0000709544,Grevillea robusta
1f9a679d-6880-4ab1-93b5-74f506ce127f,wfo-0000709544,Grevillea robusta
c679ade2-5aaf-48c9-9431-8fe0233fbef7,wfo-0000709544,Grevillea robusta
e6cc858f-45e0-4898-bfba-9798bb6bbe6d,wfo-0000709544,Grevillea robusta
d5919114-23fb-4cf4-8c84-e5551f17c68d,wfo-0000709544,Grevillea robusta
80363ef0-a927-4d2a-8451-507e45cf6319,wfo-0000709544,Grevillea robusta
7d679fed-ae94-4277-8071-30e8f92be53a,wfo-0000709544,Grevillea robusta
b2107684-7349-4459-857c-358a619c69fa,wfo-0000709544,Grevillea robusta
ea7684fd-61f2-42e7-a98d-d8967e76ce76,wfo-0000709544,Grevillea robusta
3a3dc1c8-7a67-4ebb-bd39-12842668d6aa,wfo-0000709544,Grevillea robusta
5c809161-b8b1-42c2-8b20-f7c0e61697a2,wfo-0000709544,Grevillea robusta
3189df03-5b38-43cf-a10b-0a5168806656,wfo-0000709544,Grevillea robusta
0831ab76-f441-4af7-9e15-2294b057419b,wfo-0000709544,Grevillea robusta
fa281d2f-7646-4c58-a441-d8b1225b555b,wfo-4000011843,Dioscorea
8036eea0-23e9-448e-98fa-9c9396ea1767,wfo-4000011843,Dioscorea
7589986b-a2c7-4501-90d9-22d762a08864,wfo-4000011843,Dioscorea
b5ca6083-6469-4fea-8c32-256a3c13d488,wfo-0000732322,Irvingia wombolu
363afcf7-ec4f-46ff-94ca-ebc95d234818,wfo-0000355729,Juniperus procera
e51deb35-d1a3-4855-9007-98572e1ba5a0,wfo-0000356989,Khaya senegalensis
518a6630-3423-42a0-998b-5a26bde341de,wfo-0000452329,Macadamia integrifolia
9d584521-0427-4694-9ff9-a505e8931670,wfo-0000452329,Macadamia integrifolia
2d1c0e13-83dd-4d82-9ea2-a824f92c2be4,wfo-0000452329,Macadamia integrifolia
29d9cdfa-8150-45c4-8444-a87a76586630,wfo-0000452329,Macadamia integrifolia
