uuid,planting_status
3ff143f8-9c77-4b8d-b69f-becb3f34774d,in-progress
8a3f1999-93b7-4b94-bc77-56ecc053e5c5,replacement-planting
54eba74b-70c0-44ae-bab1-82df471c9064,replacement-planting
a4ea3511-28ca-4caa-b1b9-9eb4dafe3d97,in-progress
6482ed9a-d35d-4ee0-a24c-3eb4ef1a194f,in-progress
2d9d04ef-2bdf-4169-8d66-8bb0160d06ce,completed
370e9203-1d5b-4f69-884a-c8ec2780218a,no-restoration-expected
9be039f6-e034-4c95-9448-6174097c421f,no-restoration-expected
aa978068-25e3-45e3-9c18-47115c18e72f,no-restoration-expected
9dda2716-2fb6-445e-bd42-04ab99509871,no-restoration-expected
b75252d6-f9f3-462c-b00f-90525eb41129,no-restoration-expected
2eeb87f2-c3d1-44f6-8c2e-7d1f6f64064b,no-restoration-expected
5614e036-65a7-4217-bb27-faf4c1580576,in-progress
9ca75a1f-2b95-45b0-96db-958c52bd0b8b,in-progress
142cb888-3917-4430-9810-6bf4658d2267,not-started
d403e7c3-77c9-48b0-b8c1-cff017543a96,in-progress
5dfef914-758f-451e-bedc-df97f9ea5382,in-progress
82f57c78-9ef9-4b9a-aaa7-bfadc56cff06,not-started
8332c308-d518-4dcf-91d9-617d99eed44b,in-progress
1b244060-9120-488a-90d4-9038c4829ab5,in-progress
fad33db5-e9df-4251-970e-1b85459e73bc,in-progress
993ffd40-1ee1-45d4-b315-52a5e23ec3be,completed
492ff9fa-6119-465c-b849-04d4f8294b55,completed
753b65b5-4e38-4632-84ee-ab87bc62f469,completed
bfc6c292-f655-452b-86da-f6c9425115b5,not-started
b565f41b-6e49-4991-9fd8-993bf2441678,in-progress
c36439d8-b3d5-4831-ae9c-5e87d8e9c6f9,completed
71e54a6e-eee2-47eb-9d7a-b8592ff2a397,completed
67e2fab2-b464-4aa5-afdc-a263973e219b,completed
66430921-02d6-4244-8ade-b9e39d6fe9f8,completed
d9249671-843d-4020-8fa9-73528edc43e9,completed
f26c59b4-f3ff-40e5-8b08-ecd6b426e2b3,in-progress
a437db93-49b3-4372-9d0d-4e10344c80df,in-progress
2a412f8c-0063-4cba-af58-18d39316ee08,in-progress
e7385a61-dced-4825-9f4f-8ffb5ff0406e,in-progress
6770eba6-72c9-4638-82e4-7dc0bed9bc0c,in-progress
338bc9f1-2389-463c-be57-19adcde364fb,completed
adfefc24-5f4e-4860-9284-8d80b919e26c,completed
5c45ad68-7fc2-46d6-b8e5-3a4e12237687,in-progress
94fcaa30-58f0-4250-b071-3759c9912594,in-progress
f7a4405b-9701-4178-a559-4f1cc5fc29f3,in-progress
b4e81dbe-c8bf-4154-9055-6549c1240904,completed
1dfc53f9-d83f-49f5-80f8-41e5f3bcf569,not-started
924444be-eef2-45bb-ad6d-2abe8addd19f,replacement-planting
e1cf2e7b-8cc6-49c8-a3ad-4cb69c43eb0f,not-started
5c37342c-55aa-49d9-ad8c-dabeb53e0336,not-started
4f7162e8-ec88-45e7-92d0-36d11ef22450,in-progress
fd901a6e-3bcd-484b-9d0c-688c6d706934,in-progress
21835f63-4d5a-499b-b42f-52521a002aec,not-started
5685f900-0cb3-42cd-af0c-46412da290cd,in-progress
837e2814-d273-4230-b64d-fcbc805a86c3,in-progress
251c6446-3e1d-4869-8d16-29e12d1390c8,in-progress
1b4bc013-0f47-4e2a-b134-ee9912905738,in-progress
845af972-4070-4091-a290-197151bc45ed,in-progress
76703c8c-55fa-4a0c-b69c-1e4900b660e5,in-progress
e97cd359-e5e5-4777-b7f3-3844907bb06d,replacement-planting
ed58ad78-c8b1-4bc1-9c63-2b375c373c30,in-progress
785846b1-a7e3-45a8-92c5-179e7a8c6778,in-progress
806d589b-a1c8-4a18-aaa1-9123722908fe,in-progress
b405e3f7-0e97-4753-bbb4-863d7b09b657,in-progress
f6e1c10e-b82e-4ecc-9b74-c9ed53d92cdd,in-progress
38e7c5e5-2179-4567-98b3-bde2a8452a2b,in-progress
b7682681-b779-4b26-97ba-7047b3c82143,in-progress
5ca8a984-3630-4187-b875-5c84600c4e65,in-progress
6f562de9-327f-4b2a-ad8e-5901b31765a6,in-progress
4bb67e11-0385-4146-8ea1-5cd1f696c6dc,in-progress
655ce743-43d1-4346-88e0-6fb7bb6e91f5,in-progress
fe82e544-cf45-4b0c-84e3-de568df80fbb,completed
d81635b2-0261-4d9e-b5b6-65fc662ba848,completed
52c4cbe1-98f7-4129-a3dd-945ca5d64c77,completed
9ad3fc14-19bb-48a0-bccd-3e2b51f638ef,not-started
f367132f-0d39-4382-b094-481cc69ce0bc,not-started
cc6f4e17-954f-4da9-ae3f-4d259fd6ed1b,not-started
50c62f7e-6bf7-4ee1-9c5d-96b9989440bd,not-started
4071d351-39e0-4907-85c6-90e3b7a5a1e8,in-progress
78177404-cd4c-4131-abec-ad1e35389c11,completed
622a3750-4243-4605-994d-f60db454af73,in-progress
2d761214-ebe6-44a7-b647-3e5867fcf127,in-progress
3ec7848d-a913-4ac9-b679-f9d4fa93866f,not-started
c1dfd872-f94e-43e0-9f88-7dca7817a384,in-progress
183fe099-7ea1-4b96-afb5-95acbedd1907,in-progress
1a1eaa98-db4f-449b-9356-f9aa7b26cfb2,in-progress
